z,lon,lat,station,state,county,name,network,present,missing,9/1/2021,flag,time,9/2/2021,flag,time,Notes
5.61,-73.401363,41.370325,CT-FR-43,CT,Fairfield,Bethel 0.5 E,coco,2,0,0.04,,7,5.57,,6,
6.63,-73.398208,41.42154,CT-FR-41,CT,Fairfield,Bethel 3.5 NNE,coco,2,0,0.14,,9,6.49,,8,
5.95,-73.35723,41.32832,CT-FR-91,CT,Fairfield,Bethel 4.1 SE,coco,2,0,0.05,,7,5.9,,7,
4.86,-73.38314,41.30958,CT-FR-64,CT,Fairfield,Bethel 4.5 SSE,coco,2,0,0.06,,7,4.8,,7,
4.71,-73.209089,41.226962,CT-FR-70,CT,Fairfield,Bridgeport 2.9 NNW,coco,2,0,0,,8,4.71,,8,
6.85,-73.39039,41.44057,CT-FR-9,CT,Fairfield,Brookfield 3.3 SSE,coco,2,0,0.04,,7,6.81,,7,
5.48,-73.5296,41.3971,CT-FR-85,CT,Fairfield,Danbury 3.0 W,coco,2,0,0.03,,8,5.45,,8,
4.65,-73.48278,41.37139,KDXR,CT,Fairfield,DANBURY MUNICIPAL AP,asos,2,0,2.14, ,24,2.51, ,24,
6.82,-73.44909,41.062171,CT-FR-35,CT,Fairfield,Darien 1.8 ENE,coco,2,0,0.04,,8,6.78,,8,
6.59,-73.5105229,41.0772866,CT-FR-83,CT,Fairfield,Darien 2.4 NW,coco,2,0,0.02,,7,6.57,,7,
6.99,-73.489278,41.102802,CT-FR-5,CT,Fairfield,Darien 3.6 N,coco,2,0,0.11,,9,6.88,,8,
5.74,-73.24699,41.158682,CT-FR-60,CT,Fairfield,Fairfield 1.5 NE,coco,2,0,0.02,,7,5.72,,7,
5.94,-73.12669,41.16422,KBDR,CT,Fairfield,IGOR I SIKORSKY MEMORIAL AIRPORT,asos,2,0,5.77, ,24,0.17, ,24,
5.17,-73.22345,41.334397,CT-FR-32,CT,Fairfield,Monroe 0.8 W,coco,2,0,0.02,,6,5.15,,6,
6.34,-73.459089,41.148602,CT-FR-3,CT,Fairfield,New Canaan 1.9 ENE,coco,2,0,0.09,,8,6.25,,8,
